ID,RAM,HDD,SSD1,SSD2,OS,CHIPSET,SCREEN SIZE,RESOLUTION,GRAPHICS CARD,GPU MEMORY,PRICE
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,52236
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,63196
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,63996
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,73596
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,43196
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,54156
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,54956
IdeaPad 3 14i,12,0,512.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,66396
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,52236
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,63196
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,63996
IdeaPad 3 14i,12,0,512.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,73596
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,43036
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,55156
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,55956
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,67956
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,53796
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,64756
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,65556
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,75156
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,44756
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,55716
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,56516
IdeaPad 3 14i,12,0,512.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,67956
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,53796
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,64756
